industry_category,stock_id,stock_name,type
生技醫療業,4174,浩鼎,tpex
生技醫療業,4175,杏一,tpex
生技醫療業,4183,福永生技,tpex
生技醫療業,4188,安克,tpex
生技醫療業,4190,佐登-KY,twse
生技醫療業,4192,杏國,tpex
生技醫療業,4198,欣大健康,tpex
食品工業,4205,中華食,tpex
食品工業,4207,環泰,tpex
塑膠工業,4303,信立,tpex
塑膠工業,4304,勝昱,tpex
塑膠工業,4305,世坤,tpex
塑膠工業,4306,炎洲,twse
紡織纖維,4401,東隆興,tpex
紡織纖維,4402,福大,tpex
紡織纖維,4406,新昕纖,tpex
紡織纖維,4413,飛寶企業,tpex
紡織纖維,4414,如興,twse
建材營造,4416,三圓,tpex
紡織纖維,4417,金洲,tpex
紡織纖維,4419,元勝,tpex
紡織纖維,4420,光明,tpex
紡織纖維,4426,利勤,twse
紡織纖維,4429,聚紡,tpex
其他,4430,耀億,tpex
紡織纖維,4432,銘旺實,tpex
紡織纖維,4433,興采,tpex
紡織纖維,4438,廣越,twse
紡織纖維,4439,冠星-KY,twse
電機機械,4502,健信,tpex
電機機械,4503,金雨,tpex
電機機械,4506,崇友,tpex
電機機械,4510,高鋒,tpex
電機機械,4513,福裕,tpex
電機機械,4523,永彰,tpex
電機機械,4526,東台,twse
電機機械,4527,方土霖,tpex
電機機械,4528,江興鍛,tpex
其他,4529,淳紳,tpex
電機機械,4530,宏易,tpex
電機機械,4532,瑞智,twse
電機機械,4533,協易機,tpex
電機機械,4534,慶騰,tpex
電機機械,4535,至興,tpex
其他,4536,拓凱,twse
電機機械,4538,大詠城,tpex
電機機械,4540,全球傳動,twse
其他,4541,晟田,tpex
電子零組件業,4542,科嶠,tpex
電機機械,4543,萬在,tpex
電子零組件業,4545,銘鈺,twse
電機機械,4549,桓達,tpex
電機機械,4550,長佳,tpex
汽車工業,4551,智伸科,twse
電機機械,4552,力達-KY,twse
其他電子業,4554,橙的,tpex
電機機械,4555,氣立,twse
其他,4556,旭然,tpex
汽車工業,4557,永新-KY,twse
電機機械,4560,強信-KY,twse
電機機械,4561,健椿,tpex
電機機械,4562,穎漢,twse
電機機械,4563,百德,tpex
電機機械,4564,元翎,twse
電機機械,4566,時碩工業,twse
電機機械,4568,科際精密,tpex
電機機械,4571,鈞興-KY,twse
電機機械,4572,駐龍,twse
電機機械,4576,大銀微系統,twse
電機機械,4580,捷流閥業,tpex
汽車工業,4581,光隆精密-KY,twse
電器電纜,4609,唐鋒,tpex
化學工業,4702,中美實,tpex
化學工業,4706,大恭,tpex
化學工業,4707,磐亞,tpex
化學工業,4711,永純,tpex
食品工業,4712,南璋,tpex
化學工業,4714,永捷,tpex
化學工業,4716,大立,tpex
化學工業,4720,德淵,twse
化學工業,4721,美琪瑪,tpex
化學工業,4722,國精化,twse
化學工業,4725,信昌化,twse
生技醫療業,4726,永昕,tpex
生技醫療業,4728,雙美,tpex
光電業,4729,熒茂,tpex
化學工業,4733,上緯,twse
生技醫療業,4735,豪展,tpex
生技醫療業,4736,泰博,tpex
生技醫療業,4737,華廣,twse
化學工業,4739,康普,twse
化學工業,4741,泓瀚,tpex
生技醫療業,4743,合一,tpex
生技醫療業,4744,皇將,tpex
生技醫療業,4745,合富-KY,tpex
生技醫療業,4746,台耀,twse
生技醫療業,4747,強生,tpex
化學工業,4754,國碳科,tpex
化學工業,4755,三福化,twse
其他電子業,4760,勤凱,tpex
化學工業,4763,材料-KY,twse
化學工業,4764,雙鍵,twse
化學工業,4766,南寶,twse
化學工業,4767,誠泰科技,tpex
文化創意業,4803,VHQ-KY,tpex
